,gaussian,lowess
Coefficient of Determination (R2),0.8009545141717576,0.6030621202394134
Mean Squared Error,1.0425674355239912e-06,2.0790951658226772e-06
Max Error,0.007852506269561368,0.010754308473284957
Peak Error,0.007850089280617817,0.010744692981616531
