,gaussian,lowess,kde
Coefficient of Determination (R2),0.984733622701605,-0.015483069257797633,0.46294427914834313
Mean Squared Error,7.996276712079517e-08,5.318932880737122e-06,2.81300931438835e-06
Max Error,0.0015863146232056053,0.011393197052572267,0.0052443981426180215
Peak Error,0.00013488165733672314,0.0004277378621173611,0.0006406705077052141
